stride,feature_set,n_features,model,standardized,fit_scope,Delta_CB_train,Delta_B_train,N_train,N_full,endpoint_accuracy,P_B_at_Delta_B,P_B_at_Delta_CB,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_scaler_fit,runtime_scaler_transform_train,runtime_scaler_transform_full,runtime_fit,runtime_predict_train,runtime_predict_full,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
1,30,30,KMeans,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03796515196838788,2.9103355406190608e-05,0.0378,12,0.0,0.0,0.0,0.181,0.014,0.085,0.281,3.968,9.605,0.0088,0.0082,0.00022,13.871
1,30,30,GaussianMixture,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03757794566113299,9.159703097618448e-05,0.0374,12,0.0,0.0,0.0,0.981,0.133,0.854,1.968,3.832,9.794,0.0081,0.0078,0.00023,15.61
1,30,30,MeanShift,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037961414705108144,2.9475544470083787e-05,0.0378,12,0.0,0.0,0.0,313.864,0.051,0.184,314.099,4.218,10.426,0.0089,0.0082,0.00016,328.761
1,30,30,Birch,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03800529380720641,2.8299074537149674e-05,0.0382,12,0.0,0.0,0.0,22.464,4.818,260.608,287.89,4.592,10.671,0.0092,0.0089,0.00017,303.172
1,30,30,BayesianGMM,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037838608706125675,5.0899359279273976e-05,0.0378,12,0.0,0.0,0.0,1.341,0.153,0.977,2.471,4.31,10.286,0.0086,0.0082,0.00016,17.084
1,20,20,KMeans,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03803755639509108,3.33574657110976e-05,0.0382,12,0.0,0.0,0.0,0.18,0.012,0.063,0.255,4.229,9.96,0.0155,0.009,0.00015,14.469
1,20,20,GaussianMixture,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03757839260550879,9.147427785550274e-05,0.0374,12,0.0,0.0,0.0,0.938,0.118,0.746,1.802,4.404,10.986,0.0087,0.0089,0.00021,17.209
1,20,20,MeanShift,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03803734729312139,3.3306856301742224e-05,0.0382,12,0.0,0.0,0.0,272.058,0.037,0.157,272.252,4.478,9.962,0.0087,0.0086,0.00016,286.709
1,20,20,Birch,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03805121539231512,3.7209040475042496e-05,0.0382,12,0.0,0.0,0.0,5.479,0.614,26.852,32.945,4.34,10.112,0.0088,0.0084,0.00016,47.415
1,20,20,BayesianGMM,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03783961631127302,5.066707005868722e-05,0.0378,12,0.0,0.0,0.0,1.032,0.115,0.758,1.905,4.287,10.543,0.0088,0.0086,0.00016,16.752
1,12,12,KMeans,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037951938918461325,3.039061884025435e-05,0.0378,12,0.0,0.0,0.0,0.114,0.019,0.04,0.173,4.383,10.882,0.0087,0.0084,0.00016,15.456
1,12,12,GaussianMixture,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03769189110829959,5.9334600538083134e-05,0.0378,12,0.0,0.0,0.0,0.605,0.057,0.554,1.216,4.209,10.788,0.0087,0.0084,0.00015,16.231
1,12,12,MeanShift,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03794720391580952,3.088141535708376e-05,0.0378,12,0.0,0.0,0.0,58.523,0.009,0.117,58.649,4.178,10.027,0.0084,0.0082,0.00015,72.87
1,12,12,Birch,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03799486169851808,2.778573051638588e-05,0.0378,12,0.0,0.0,0.0,4.179,0.353,13.11,17.642,4.189,10.147,0.0088,0.0084,0.00016,31.995
1,12,12,BayesianGMM,False,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037861129456208426,4.6064083909261536e-05,0.0378,12,0.0,0.0,0.0,0.724,0.063,0.571,1.358,4.598,10.404,0.0088,0.0083,0.00017,16.378
