transition,critical_parameter,model,feature_set,critical_uncalibrated,critical_calibrated,difference,abs_difference,error_uncalibrated,error_calibrated,combined_error,within_4e-5,within_statistical_error
AB,Delta_crit,Decision Tree,30,-0.115,-0.114999417436468,5.825635320116929e-07,5.825635320116929e-07,0.0,2.21344120014336e-18,2.21344120014336e-18,True,False
AB,Delta_crit,Decision Tree,20,-0.115,-0.114999417436468,5.825635320116929e-07,5.825635320116929e-07,0.0,2.21344120014336e-18,2.21344120014336e-18,True,False
AB,Delta_crit,Decision Tree,12,-0.115,-0.114999417436468,5.825635320116929e-07,5.825635320116929e-07,0.0,2.21344120014336e-18,2.21344120014336e-18,True,False
AB,Delta_crit,Gradient Boosted Trees,30,-0.114999978049241,-0.11499941743647,5.606127709972819e-07,5.606127709972819e-07,4.90278093146996e-18,5.1532270690927194e-18,7.112876358240412e-18,True,False
AB,Delta_crit,Gradient Boosted Trees,20,-0.114999978049241,-0.11499941743647,5.606127709972819e-07,5.606127709972819e-07,4.90278093146996e-18,5.15284391129953e-18,7.112598768115778e-18,True,False
AB,Delta_crit,Gradient Boosted Trees,12,-0.114999978049241,-0.11499941743647,5.606127709972819e-07,5.606127709972819e-07,4.90278093146996e-18,5.15285427467453e-18,7.112606276043757e-18,True,False
AB,Delta_crit,Logistic Regression,30,-0.114999999421634,-0.114996082829597,3.916592036995459e-06,3.916592036995459e-06,5.83871329524782e-10,3.65834438311625e-06,3.6583444297091473e-06,True,False
AB,Delta_crit,Logistic Regression,20,-0.114999999717763,-0.114997638592205,2.361125557986954e-06,2.361125557986954e-06,2.92396927989669e-10,2.48275935699346e-06,2.482759374211392e-06,True,True
AB,Delta_crit,Logistic Regression,12,-0.114999999296998,-0.114994603906823,5.395390174994796e-06,5.395390174994796e-06,7.07296098807428e-10,5.00076208842618e-06,5.000762138445333e-06,True,False
AB,Delta_crit,Logistic Regression C = 0.00175,30,-0.114999999245158,-0.114995963913147,4.03533201100148e-06,4.03533201100148e-06,7.65106616671468e-10,3.86843351381303e-06,3.868433589475197e-06,True,False
AB,Delta_crit,Logistic Regression C = 0.00175,20,-0.11499999941444,-0.114997694813848,2.304600592001327e-06,2.304600592001327e-06,6.317424347675601e-10,2.45756202246049e-06,2.4575621036585417e-06,True,True
AB,Delta_crit,Logistic Regression C = 0.00175,12,-0.11499999867612,-0.114994721333639,5.277342480999869e-06,5.277342480999869e-06,1.33078512344249e-09,4.92343760776679e-06,4.923437787619684e-06,True,False
AB,Delta_crit,Neural Network,30,-0.115,-0.114999064413061,9.355869390048621e-07,9.355869390048621e-07,0.0,5.03243798716476e-07,5.03243798716476e-07,True,False
AB,Delta_crit,Neural Network,20,-0.115000030819721,-0.114996959635473,3.071184247999126e-06,3.071184247999126e-06,3.08030853780383e-08,2.98630360808016e-06,2.9864624674858026e-06,True,False
AB,Delta_crit,Neural Network,12,-0.115,-0.115000510141762,-5.101417620001492e-07,5.101417620001492e-07,0.0,4.4704616277349e-07,4.4704616277349e-07,True,False
AB,Delta_crit,Random Forest,30,-0.115000086341556,-0.114999416291917,6.70049638995529e-07,6.70049638995529e-07,1.33603330378001e-07,2.60175875510398e-09,1.336286609852581e-07,True,False
AB,Delta_crit,Random Forest,20,-0.115000345513364,-0.114999408729832,9.367835319962214e-07,9.367835319962214e-07,3.97025688457066e-07,1.24023058646535e-08,3.9721935311055483e-07,True,False
AB,Delta_crit,Random Forest,12,-0.115000216771499,-0.11499941527835,8.014931490024635e-07,8.014931490024635e-07,2.17936774792275e-07,5.05684204431974e-09,2.1799543448962409e-07,True,False
AB,Delta_crit,SVM (RBF),30,-0.114998965378875,-0.114996535629268,2.4297496069997093e-06,2.4297496069997093e-06,9.19479953127859e-07,3.46367277987666e-06,3.5836395619903684e-06,True,True
AB,Delta_crit,SVM (RBF),20,-0.114998994972724,-0.114997094753446,1.900219278011539e-06,1.900219278011539e-06,8.87379207276863e-07,2.95543940070869e-06,3.085784164320093e-06,True,True
