transition,model,feature_set,calibration,critical_parameter,critical_value,x,distance_from_critical,chi_err
AB,Logistic Regression,30,uncalibrated,Delta_crit,-0.114999999421634,-0.114,0.000999999421633993,3.9411024996838e-10
AB,Logistic Regression,30,uncalibrated,Delta_crit,-0.114999999421634,-0.116,0.0010000005783660088,6.04891488581848e-18
AB,Logistic Regression,30,uncalibrated,Delta_crit,-0.114999999421634,-0.112,0.002999999421633995,2.38023430205747e-06
AB,Logistic Regression,30,uncalibrated,Delta_crit,-0.114999999421634,-0.118,0.0030000005783659967,2.3391271045901097e-18
AB,Logistic Regression,30,uncalibrated,Delta_crit,-0.114999999421634,-0.11,0.004999999421633997,7.26415776115228e-16
AB,Logistic Regression,30,calibrated,Delta_crit,-0.114996082829597,-0.114,0.0009960828295969976,0.0006057982899732
AB,Logistic Regression,30,calibrated,Delta_crit,-0.114996082829597,-0.116,0.0010039171704030042,3.61573769537404e-10
AB,Logistic Regression,30,calibrated,Delta_crit,-0.114996082829597,-0.112,0.0029960828295969993,0.0037026932626701
AB,Logistic Regression,30,calibrated,Delta_crit,-0.114996082829597,-0.118,0.003003917170402992,4.95666462193492e-10
AB,Logistic Regression,30,calibrated,Delta_crit,-0.114996082829597,-0.11,0.004996082829597001,0.0001088132278778
AB,Logistic Regression,20,uncalibrated,Delta_crit,-0.114999999717763,-0.114,0.0009999997177629893,5.977580098689839e-11
AB,Logistic Regression,20,uncalibrated,Delta_crit,-0.114999999717763,-0.116,0.0010000002822370124,2.92497073700454e-17
AB,Logistic Regression,20,uncalibrated,Delta_crit,-0.114999999717763,-0.112,0.002999999717762991,2.15828014339525e-08
AB,Logistic Regression,20,uncalibrated,Delta_crit,-0.114999999717763,-0.118,0.0030000002822370003,9.73466792873072e-18
AB,Logistic Regression,20,uncalibrated,Delta_crit,-0.114999999717763,-0.11,0.004999999717762993,2.23258460160861e-14
AB,Logistic Regression,20,calibrated,Delta_crit,-0.114997638592205,-0.114,0.0009976385922050024,0.0002041436089327
