transition,model,feature_set,calibration,P_min,P_max,x_at_P_min,x_at_P_max,distance_from_0,distance_from_1
AB,Decision Tree,30,uncalibrated,0.0,1.0,-0.114,-0.128,0.0,0.0
AB,Decision Tree,30,calibrated,0.0008318084459626,0.999750124936295,-0.114,-0.124,0.0008318084459626,0.00024987506370499624
AB,Decision Tree,20,uncalibrated,0.0,1.0,-0.114,-0.128,0.0,0.0
AB,Decision Tree,20,calibrated,0.0008318084459626,0.999750124936295,-0.114,-0.124,0.0008318084459626,0.00024987506370499624
AB,Decision Tree,12,uncalibrated,0.0,1.0,-0.114,-0.128,0.0,0.0
AB,Decision Tree,12,calibrated,0.0008318084459626,0.999750124936295,-0.114,-0.124,0.0008318084459626,0.00024987506370499624
AB,Gradient Boosted Trees,30,uncalibrated,3.228854888468e-05,0.999989661274728,-0.114,-0.12,3.228854888468e-05,1.0338725272007743e-05
AB,Gradient Boosted Trees,30,calibrated,0.0008318084433948,0.99975012493745,-0.114,-0.118,0.0008318084433948,0.0002498750625500312
AB,Gradient Boosted Trees,20,uncalibrated,3.228854888468e-05,0.999989661274728,-0.114,-0.12,3.228854888468e-05,1.0338725272007743e-05
AB,Gradient Boosted Trees,20,calibrated,0.0008318084433947,0.99975012493745,-0.114,-0.118,0.0008318084433947,0.0002498750625500312
AB,Gradient Boosted Trees,12,uncalibrated,3.228854888468e-05,0.999989661274728,-0.114,-0.12,3.228854888468e-05,1.0338725272007743e-05
AB,Gradient Boosted Trees,12,calibrated,0.0008318084433948,0.99975012493745,-0.114,-0.118,0.0008318084433948,0.0002498750625500312
AB,Logistic Regression,30,uncalibrated,2.0872947188174904e-09,0.999999998868129,-0.11,-0.128,2.0872947188174904e-09,1.1318710413377175e-09
AB,Logistic Regression,30,calibrated,0.001167637891715,0.999760631591927,-0.108,-0.128,0.001167637891715,0.00023936840807303739
AB,Logistic Regression,20,uncalibrated,6.61832686807989e-09,0.999999998263874,-0.11,-0.126,6.61832686807989e-09,1.736126020723816e-09
AB,Logistic Regression,20,calibrated,0.0010535677849679,0.999691061318364,-0.108,-0.128,0.0010535677849679,0.00030893868163595073
AB,Logistic Regression,12,uncalibrated,1.17098678799175e-09,0.999999998442143,-0.11,-0.126,1.17098678799175e-09,1.5578569545482424e-09
AB,Logistic Regression,12,calibrated,0.0015848199416435,0.999716512470164,-0.108,-0.126,0.0015848199416435,0.0002834875298359796
AB,Logistic Regression C = 0.00175,30,uncalibrated,3.3853277730298804e-09,0.999999997901932,-0.11,-0.128,3.3853277730298804e-09,2.098068052625024e-09
AB,Logistic Regression C = 0.00175,30,calibrated,0.0014576146483321,0.999641085016208,-0.108,-0.128,0.0014576146483321,0.0003589149837920358
AB,Logistic Regression C = 0.00175,20,uncalibrated,1.96172699696466e-08,0.999999992344394,-0.11,-0.126,1.96172699696466e-08,7.655606037992868e-09
AB,Logistic Regression C = 0.00175,20,calibrated,0.0010568353288457,0.999705604586846,-0.108,-0.128,0.0010568353288457,0.00029439541315401385
