target_feature,r2,complexity,loss,equation
10,0.9999700802088596,19,23.037888,(((x26 * 0.32788178) - (x0 / -39.97924)) + -421.38474) - log1p(cbrt(sin((x24 / x11) - cbrt(x3))))
10,0.9999700723629555,16,23.075083,(((x6 + 0.6997032) * 0.32788178) - ((x0 / -39.97924) - cbrt(sin(cbrt(x3))))) + -421.38474
10,0.9999700704787766,20,23.03297,(((x26 * 0.32788178) - (x0 / -39.97924)) + -421.38474) - log1p(sin(cbrt(sin((x24 / x11) - cbrt(x3)))))
10,0.9999700698297392,17,23.065039,(((x6 + 0.6997032) * 0.32788178) - ((x0 / -39.97924) - sin(cbrt(sin(cbrt(x3)))))) + -421.38474
10,0.9999700680682344,18,23.063454,(((x6 + 0.6997032) * 0.32788178) - ((x0 / -39.97924) - sin(cbrt(sin(sin(cbrt(x3))))))) + -421.38474
10,0.9999700588804722,14,23.096441,((x6 * 0.32788813) + -421.83325) - ((x0 / -39.901264) - cbrt(sin(cbrt(x3))))
10,0.9999698762597223,13,23.232319,((x6 * 0.32788178) - ((x0 / -39.97924) - sin(cbrt(x3)))) + -421.38474
10,0.9999696481287572,12,23.338202,(((sin(x0) - x0) / -39.97924) + -421.38474) + (x26 * 0.32788178)
10,0.9999693430542471,8,23.652576,(x26 * 0.3278837) - (log(x12) + 6.088196)
10,0.9999690460176073,6,23.832355,(x26 * 0.3278659) - log(x2)
