transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
AB,a_b,LR,Logistic Regression,uncalibrated,-0.128,1.224394,0.039674180354690614,0.0197925302285065,50.0,2.8447366980541466e-06,6.4123957922367955e-06,3.0,0.00042325654810152413
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1279,1.22435395,0.03990412536527968,0.019901682051301963,50.0,2.982940487733168e-06,6.482486778386664e-06,3.0,0.0004380997120922392
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1278,1.2243139,0.04013437898915782,0.020010986529725,50.0,3.123197448164239e-06,6.5529034564501025e-06,3.0,0.0004536840556492265
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1277,1.2242738499999999,0.04036491787750647,0.020120433142276378,50.0,3.2654404283987516e-06,6.623625579822958e-06,3.0,0.0004700533785119335
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1276,1.2242338,0.0405957183180633,0.020230011221931844,50.0,3.409597517261805e-06,6.694631390758144e-06,3.0,0.00048725438428788337
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1275,1.22419375,0.04082675623453869,0.0203397099556817,50.0,3.555592016364929e-06,6.765897562076948e-06,3.0,0.0005053368891415737
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1274,1.2241537,0.04105800718598929,0.020449518383970414,50.0,3.7033424245889644e-06,6.8373991409590385e-06,3.0,0.0005243540463091216
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1273,1.22411365,0.04128944636615622,0.020559425400032662,50.0,3.8527624346002004e-06,6.909109495253477e-06,3.0,0.0005443625876730673
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1272,1.2240735999999999,0.04152104860276268,0.02066941974912597,50.0,4.003760941948058e-06,6.9810002627690755e-06,3.0,0.0005654230837284958
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1271,1.22403355,0.04175278835678719,0.020779490027658987,50.0,4.156242067266442e-06,7.053041304010309e-06,3.0,0.0005876002233751874
