transition,folder,tag,model,calibration,param,k4,mean,mean_err,mean_B,ess_frac
AB,a_b,LR,Logistic Regression,uncalibrated,-0.128,1.224394,0.0001395052452466226,0.0002990194366436957,3.0,0.00042325654810152413
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1279,1.22435395,0.00014529725478884683,0.0003007300843835546,3.0,0.0004380997120922392
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1278,1.2243139,0.00015112351993497864,0.00030243682505960766,3.0,0.0004536840556492265
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1277,1.2242738499999999,0.00015698031429901095,0.0003041389780816582,3.0,0.0004700533785119335
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1276,1.2242338,0.0001628637802298487,0.00030583581455425474,3.0,0.00048725438428788337
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1275,1.22419375,0.00016876993163289695,0.00030752655570489293,3.0,0.0005053368891415737
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1274,1.2241537,0.00017469465720661078,0.00030921037143621287,3.0,0.0005243540463091216
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1273,1.22411365,0.00018063372410083228,0.0003108863790176185,3.0,0.0005443625876730673
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1272,1.2240735999999999,0.00018658278200268545,0.00031255364193182755,3.0,0.0005654230837284958
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1271,1.22403355,0.00019253736765434995,0.0003142111688916209,3.0,0.0005876002233751874
AB,a_b,LR,Logistic Regression,uncalibrated,-0.127,1.2239935,0.00019849290980514163,0.00031585791304150114,3.0,0.0006109631150809289
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1269,1.22395345,0.00020444473459925357,0.00031749277135880984,3.0,0.0006355856110814512
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1268,1.2239134,0.00021038807139818705,0.000319114584267848,3.0,0.0006615466564092537
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1267,1.2238733499999999,0.00021631805903541958,0.00032072213547999095,3.0,0.0006889306646812441
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1266,1.2238333,0.0002222297524989656,0.0003223141520718469,3.0,0.0007178279227219329
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1265,1.22379325,0.0002281181300351397,0.00032388930481226755,3.0,0.0007483350262550877
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1264,1.2237532,0.0002339781006654332,0.00032544620874821214,3.0,0.0007805553490658598
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1263,1.22371315,0.00023980451210568504,0.000326983424057805,3.0,0.0008145995482131494
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1262,1.2236730999999998,0.00024559215907498456,0.0003284994571777368,3.0,0.0008505861080638258
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1261,1.2236330499999999,0.0002513357919795728,0.0003299927622106873,3.0,0.0008886419261238517
AB,a_b,LR,Logistic Regression,uncalibrated,-0.126,1.223593,0.0002570301259544437,0.0003314617426166014,3.0,0.0009289029438568947
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1259,1.2235603499999999,0.0002631892894541827,0.00033326506356578243,3.0,0.0009724064627298828
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1258,1.2235277,0.000269301152752958,0.00033505202531819916,3.0,0.0010184403533636968
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1257,1.22349505,0.00027536042696946634,0.0003368208515722307,3.0,0.0010671679020833097
