transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.036,0.97125,-0.0002124970626568271,0.00021968416364258377,2.0,-1.329749711820669e-07,1.33076386386579e-07,2.0,0.0001563208300938046
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03602,0.9712312,-0.00022564611341660892,0.00023344158830585849,2.0,-1.4378531248819213e-07,1.438965054092835e-07,2.0,0.0001596553491606923
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03604,0.9712124,-0.00023980739277540522,0.00024828604175131976,2.0,-1.557189047885294e-07,1.558412156572447e-07,2.0,0.0001631400369800422
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03606,0.9711936,-0.0002550730844526347,0.0002643213195864858,2.0,-1.6891684604377257e-07,1.690518463454474e-07,2.0,0.0001667845039170563
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03608,0.9711748,-0.00027154561172636676,0.00028166363725208555,2.0,-1.8354136708117738e-07,1.8369090766318578e-07,2.0,0.0001705991797407486
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0361,0.9711559999999999,-0.00028933898063335044,0.0003004434507918719,2.0,-1.9977951832869043e-07,1.9994578918499352e-07,2.0,0.00017459540114748138
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03612,0.9711371999999999,-0.000308580305353676,0.00032080757776771035,2.0,-2.1784758271766574e-07,2.1803318766679796e-07,2.0,0.00017878551039956058
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03614,0.9711183999999999,-0.0003294115345979352,0.0003429216691251475,2.0,-2.3799637143281902e-07,2.3820442189068347e-07,2.0,0.0001831829667009212
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03616,0.9710996,-0.0003519913966698371,0.0003669730910024387,2.0,-2.605175953119506e-07,2.6075182867543605e-07,2.0,0.00018780247219776363
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03618,0.9710808,-0.0003764975778059092,0.00039317428461781265,2.0,-2.857515495831142e-07,2.860164795046193e-07,2.0,0.00019266011480807853
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0362,0.971062,-0.0004031291431056514,0.000421766683097854,2.0,-3.1409640543513117e-07,3.143975136474561e-07,2.0,0.0001977735304575747
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03622,0.9710432,-0.00043210919970523685,0.00045302527549346026,2.0,-3.460194714434026e-07,3.463634540204551e-07,2.0,0.00020316208774441542
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03624,0.9710244,-0.0004636877872209053,0.00048726392129466565,2.0,-3.82070874544379e-07,3.824659598797802e-07,2.0,0.0002088470985853734
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03626,0.9710056,-0.0004981449581367445,0.0005248415328855837,2.0,-4.229002184276105e-07,4.2335658023666697e-07,2.0,0.00021485205902985587
