transition,folder,tag,model,calibration,param,k4,mean,mean_err,mean_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.036,0.97125,-0.0002770654909246417,0.00029117624308667566,2.0,0.0001563208300938046
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03602,0.9712312,-0.00028199935768931177,0.00029626317333316326,2.0,0.0001596553491606923
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03604,0.9712124,-0.00028720616200257545,0.0003016319644275384,2.0,0.0001631400369800422
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03606,0.9711936,-0.0002927046488927368,0.00030730213425789253,2.0,0.0001667845039170563
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03608,0.9711748,-0.0002985150008138849,0.000313294723031569,2.0,0.0001705991797407486
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0361,0.9711559999999999,-0.0003046589625440014,0.0003196324293183216,2.0,0.00017459540114748138
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03612,0.9711371999999999,-0.000311159979106675,0.00032633976083729224,2.0,0.00017878551039956058
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03614,0.9711183999999999,-0.0003180433484315663,0.000333443202010873,2.0,0.0001831829667009212
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03616,0.9710996,-0.0003253363907061278,0.0003409714006084533,2.0,0.00018780247219776363
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03618,0.9710808,-0.0003330686368285374,0.0003489553763373234,2.0,0.00019266011480807853
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0362,0.971062,-0.00034127203846898147,0.00035742875442958203,2.0,0.0001977735304575747
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03622,0.9710432,-0.0003499812030078552,0.000366428028151847,2.0,0.00020316208774441542
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03624,0.9710244,-0.0003592336569694954,0.0003759928546588196,2.0,0.0002088470985853734
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03626,0.9710056,-0.0003690701421168881,0.0003861663893376503,2.0,0.00021485205902985587
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03628,0.9709868,-0.0003795349493427284,0.00039699566498308854,2.0,0.00022120292518815527
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0363,0.970968,-0.00039067629601961947,0.0004085320229496732,2.0,0.0002279284301337885
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03632,0.9709492,-0.000402546753736879,0.00042083160504164166,2.0,0.0002350604487413466
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03634,0.9709304,-0.00041520373429814594,0.00043395591628807767,2.0,0.00024263441875320858
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03636,0.9709116,-0.00042871004330341045,0.00044797247075606427,2.0,0.00025068982798532593
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03638,0.9708928,-0.0004431345121378171,0.00046295553475751846,2.0,0.00025927077954793356
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0364,0.970874,-0.00045855272098187184,0.00047898698449328847,2.0,0.00026842664935973053
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03642,0.9708552,-0.00047504782751323505,0.0004961572983764672,2.0,0.0002782128531753422
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03644,0.9708364,-0.000492711518280578,0.0005145667080509107,2.0,0.0002886917439626124
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03646,0.9708176000000001,-0.000511645102382208,0.0005343265366546423,2.0,0.00029993366492757324
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03648,0.9707988000000001,-0.0005319607700206783,0.0005555607582435905,2.0,0.0003120181890081736
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0365,0.9707800000000001,-0.0005537830417283978,0.0005784078186577347,2.0,0.00032503558252125643
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03652,0.9707612,-0.0005772504375898855,0.0006030227657265807,2.0,0.00033908853920805524
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03654,0.9707424,-0.0006025173994386438,0.0006295797456900642,2.0,0.0003542942416424407
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03656,0.9707236,-0.0006297565027401383,0.0006582749334171662,2.0,0.0003707868204430158
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03658,0.9707048,-0.0006591609983775017,0.0006893299766683364,2.0,0.0003887202987368996
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0366,0.970686,-0.0006909477274743587,0.0007229960496376614,2.0,0.0004082721308832972
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03662,0.9706679,-0.0007243165178846367,0.0007584487409049245,2.0,0.00042900314082650276
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03664,0.9706498,-0.0007604132378651167,0.0007969311239658646,2.0,0.00045167388738763276
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03666,0.9706317,-0.0007995201394590842,0.000838782210384892,2.0,0.0004765370214630228
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03668,0.9706136000000001,-0.0008419547189314124,0.0008843890574275786,2.0,0.0005038865180216589
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0367,0.9705955,-0.0008880743464667593,0.0009341946949362253,2.0,0.000534065718307974
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03672,0.9705774,-0.0009382813520829967,0.00098870744641547,2.0,0.0005674771785729854
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03674,0.9705593,-0.000993028525158698,0.001048511889284446,2.0,0.0006045947839644901
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03676,0.9705412,-0.001052824932044452,0.0011142817392598265,2.0,0.0006459787155935796
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03678,0.9705231,-0.0011182418773401752,0.0011867949888107509,2.0,0.0006922940281834584
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0368,0.970505,-0.001189918719134726,0.0012669516794186772,2.0,0.0007443338184629331
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03682,0.9704869,-0.0012685680826134142,0.0013557947413392157,2.0,0.0008030482587548354
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03684,0.9704688,-0.0013549797808464251,0.0014545343913559194,2.0,0.0008695811607810925
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03686,0.9704507,-0.0014500224207594603,0.0015645766361505433,2.0,0.0009453162554088769
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03688,0.9704326,-0.001554641212696648,0.0016875564823712402,2.0,0.001031936071399664
