transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
AC,c_a,LR,Logistic Regression,uncalibrated,4.67,1.16367,0.06490487632524945,0.024707592578503315,5.0,9.758709083394144e-06,6.516019947540639e-05,100.0,8.344877164524838e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.671,1.1638186666666668,0.06442061369846962,0.023920327713640166,5.0,1.0191071750910143e-05,6.605392836411765e-05,100.0,8.439826767777777e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.672,1.1639673333333334,0.0638746850971215,0.02304402639329479,5.0,1.0640017022694702e-05,6.69764014172399e-05,100.0,8.536969289630483e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.673,1.164116,0.01659783175994172,0.027121691869719654,7.0,1.1106904533945627e-05,6.793095593800868e-05,100.0,8.636385881999471e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.674,1.1642646666666667,0.012509124135214836,0.03169790134123548,7.0,1.1593285798817476e-05,6.892139667203867e-05,100.0,8.73816224895784e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.675,1.1644133333333333,0.008191833448522881,0.03655612054345838,7.0,1.2100933858844796e-05,6.995206325526047e-05,100.0,8.842388989555044e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.676,1.164562,0.003646184778770184,0.04170211956520666,7.0,1.263187760805316e-05,7.102790791671773e-05,100.0,8.949161972145035e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.677,1.1647106666666667,-0.001125201561321204,0.04714001531070211,7.0,1.3188441553284357e-05,7.215458505382857e-05,100.0,9.058582743583647e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.678,1.1648593333333332,-0.0061169556066238764,0.05287197675645392,7.0,1.377329189589111e-05,7.333855454286334e-05,100.0,9.170758977082096e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.679,1.165008,-0.011320591841187999,0.0588979337805512,7.0,1.4389489970821173e-05,7.458720092010986e-05,100.0,9.285804962957498e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.68,1.1651566666666666,-0.016724137591239904,0.06521529221237524,7.0,1.5040554255490596e-05,7.59089708691971e-05,100.0,9.403842147055465e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.681,1.1653053333333332,-0.02231176237905526,0.07181866036193679,7.0,1.573053236851198e-05,7.731353177435352e-05,100.0,9.524999722231415e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.682,1.165454,-0.028063415647555358,0.0786995937418793,7.0,1.6464084723081934e-05,7.88119544424961e-05,100.0,9.649415278955912e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.683,1.1656026666666666,-0.03395448078494544,0.08584636545231868,7.0,1.7246581788649717e-05,8.041692345129504e-05,100.0,9.777235521907038e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.684,1.1657513333333334,-0.03995545362120324,0.09324376991078101,7.0,1.8084217255704e-05,8.21429789338735e-05,100.0,9.908617060323098e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.685,1.1659,-0.04603165349531005,0.10087296731876585,7.0,1.8984139801737447e-05,8.400679394831221e-05,100.0,0.00010043727280913993
AC,c_a,LR,Logistic Regression,uncalibrated,4.686,1.1660486666666665,-0.0521429745927071,0.10871137547645468,7.0,1.99546066339281e-05,8.602749188467373e-05,100.0,0.00010182745313344373
AC,c_a,LR,Logistic Regression,uncalibrated,4.687,1.1661973333333333,-0.05824368454731702,0.11673261430488106,7.0,2.1005162549684318e-05,8.822700861380907e-05,100.0,0.00010325863099662726
AC,c_a,LR,Logistic Regression,uncalibrated,4.688,1.1663459999999999,-0.06428227635745973,0.12490650675792034,7.0,2.2146848927095573e-05,9.063050426437593e-05,100.0,0.00010473286580649548
AC,c_a,LR,Logistic Regression,uncalibrated,4.689,1.1664946666666667,-0.07020137858839635,0.13319913778450923,7.0,2.3392447853809277e-05,9.326682961610755e-05,100.0,0.00010625237013902548
AC,c_a,LR,Logistic Regression,uncalibrated,4.69,1.1666433333333333,-0.07593772778008614,0.14157297075414416,7.0,2.475676754943344e-05,9.616905212015118e-05,100.0,0.00010781952440591674
AC,c_a,LR,Logistic Regression,uncalibrated,4.691,1.1667919999999998,-0.08142220614124289,0.14998701844297851,7.0,2.625697636277088e-05,9.937504652509107e-05,100.0,0.00010943689320315829
AC,c_a,LR,Logistic Regression,uncalibrated,4.692,1.1669406666666666,-0.08657994720807283,0.1583970634743234,7.0,2.7912993965983793e-05,0.00010292815505076879,100.0,0.00011110724356349707
AC,c_a,LR,Logistic Regression,uncalibrated,4.693,1.1670893333333332,-0.09133051240980349,0.16675592121664212,7.0,2.974794996608767e-05,0.00010687792210022201,100.0,0.00011283356536946829
AC,c_a,LR,Logistic Regression,uncalibrated,4.694,1.1672379999999998,-0.09558814262818459,0.17501373676002316,7.0,3.178872206069967e-05,0.00011128090875722993,100.0,0.00011461909422284111
AC,c_a,LR,Logistic Regression,uncalibrated,4.695,1.1673866666666666,-0.09926209104058444,0.1831183068985973,7.0,3.40665681409434e-05,0.00011620159293944835,100.0,0.00011646733711224581
AC,c_a,LR,Logistic Regression,uncalibrated,4.696,1.1675353333333331,-0.10225704690030811,0.19101541818735654,7.0,3.661786946399759e-05,0.0001217133622340307,100.0,0.00011838210127475814
AC,c_a,LR,Logistic Regression,uncalibrated,4.697,1.167684,-0.10447366443195479,0.19864919321256133,7.0,3.948500526906239e-05,0.00012789960828420803,100.0,0.0001203675267107825
AC,c_a,LR,Logistic Regression,uncalibrated,4.698,1.1678326666666665,-0.10580921656304217,0.20596243925100488,7.0,4.2717383099798756e-05,0.0001348549342116837,100.0,0.00012242812288621702
AC,c_a,LR,Logistic Regression,uncalibrated,4.699,1.167981333333333,-0.10615839946020024,0.21289699646446728,7.0,4.6372653751174204e-05,0.0001426864899399554,100.0,0.00012456881024467596
AC,c_a,LR,Logistic Regression,uncalibrated,4.7,1.16813,-0.10541432026034057,0.21939408657610027,7.0,5.0518145331216374e-05,0.00015151545427592015,100.0,0.00012679496725714488
AC,c_a,LR,Logistic Regression,uncalibrated,4.701,1.1682819999999998,-0.10348321921707937,0.22554020517213247,7.0,5.539729105791941e-05,0.00016176748351284166,100.0,0.0001292172037597969
AC,c_a,LR,Logistic Regression,uncalibrated,4.702,1.168434,-0.10020083844535235,0.23111117315825894,7.0,6.097369334995986e-05,0.00017336677935498034,100.0,0.00013174330426974875
AC,c_a,LR,Logistic Regression,uncalibrated,4.703,1.168586,-0.09545843007904692,0.23604542290217603,7.0,6.73635921751162e-05,0.0001864993768693719,100.0,0.0001343809123327623
AC,c_a,LR,Logistic Regression,uncalibrated,4.704,1.1687379999999998,-0.08915261963359614,0.24028245629781175,7.0,7.470368833234768e-05,0.00020137534990531745,100.0,0.00013713846399900822
AC,c_a,LR,Logistic Regression,uncalibrated,4.705,1.16889,-0.08118812327708308,0.24376341441019853,7.0,8.315490003274093e-05,0.00021823176484235654,100.0,0.0001400252902684325
AC,c_a,LR,Logistic Regression,uncalibrated,4.706,1.169042,-0.06454999193992364,0.24822038252559034,98.0,9.290683676334828e-05,0.0002373360107005028,100.0,0.00014305173518405043
AC,c_a,LR,Logistic Regression,uncalibrated,4.707,1.1691939999999998,-0.05550688271875609,0.25343934604516766,98.0,0.00010418313145894707,0.00025898954191484665,100.0,0.00014622929232186138
AC,c_a,LR,Logistic Regression,uncalibrated,4.708,1.169346,-0.04430768097850174,0.25750539239373393,98.0,0.00011724779992729146,0.0002835320647109019,100.0,0.00014957076297127372
